date,day,tempSkin,dailyrmssd,deeprmssd,restingHeartRate,breathingRate,spo2avg
2021-11-22,11,0.9,77.743,75.597,58,15.2,94.4
2021-11-23,12,0.2,68.84,68.519,57,14.8,92.6
2021-11-26,15,0.8,73.491,69.348,58,14.6,93.3
2021-11-27,16,0.7,77.109,79.083,58,15.4,91.2
2021-11-28,17,0.1,59.462,58.205,58,14.2,93.4
2021-11-29,18,-0.5,69.579,69.715,58,15.4,94.9
2021-12-01,20,-0.3,65.989,60.625,58,15.4,96.0
2021-12-03,22,0.2,62.377,55.152,58,13.8,93.9
2021-12-04,23,-1.1,60.606,53.969,58,14.4,95.3
2021-12-05,24,1.4,47.592,55.439,61,14.4,95.7
2021-12-06,25,0.3,54.955,50.115,61,15.4,95.7
2021-12-07,26,0.4,57.58,53.308,61,15.6,96.0
2021-12-08,27,-0.3,53.485,47.257,61,15.8,95.4
2021-12-09,1,-2.4,65.005,59.761,59,16.4,93.2
2021-12-10,2,-2.0,66.271,63.759,59,15.8,94.9
2021-12-12,4,-2.2,68.315,62.414,59,15.8,94.4
2021-12-13,5,-0.7,59.171,48.987,59,16.4,96.8
2021-12-17,9,-0.6,53.948,50.137,56,14.8,94.2
2021-12-18,10,-0.2,56.801,64.317,56,14.0,94.9
2021-12-19,11,0.3,67.145,63.027,55,15.4,95.4
2021-12-20,12,1.3,67.174,58.489,55,15.2,94.4
2021-12-21,13,-1.8,52.115,44.711,57,16.4,95.5
2021-12-22,14,-0.2,68.927,68.007,57,14.4,92.6
2021-12-24,16,-2.2,63.242,60.28,58,16.4,96.3
2021-12-25,17,2.1,56.71,56.015,58,15.6,93.9
2021-12-27,19,-1.3,65.057,48.716,60,16.6,92.2
2021-12-28,20,-0.0,54.402,41.875,60,11.8,91.8
2021-12-29,21,-0.3,59.363,58.961,60,15.4,93.5
2021-12-31,23,-0.0,62.537,53.192,60,16.2,93.0
2022-01-01,24,1.5,57.104,64.977,60,15.4,95.7
2022-01-02,25,1.1,63.596,60.803,61,16.6,93.7
2022-01-03,26,0.7,57.646,55.903,59,14.6,93.1
2022-01-04,27,0.6,52.4,46.963,60,15.4,94.4
2022-01-06,29,2.0,49.832,44.56,60,15.0,94.5
2022-01-07,30,0.3,48.63,42.963,60,14.4,94.3
2022-01-08,1,0.7,60.424,60.198,59,15.8,93.7
2022-01-09,2,-0.0,63.788,64.824,58,15.4,93.8
2022-01-10,3,0.1,77.215,72.698,55,15.2,94.3
2022-01-11,4,-0.6,76.299,74.915,54,15.6,97.8
2022-01-12,5,0.9,76.663,65.774,54,16.2,95.3
2022-01-13,6,-0.1,71.059,68.145,54,16.0,93.8
2022-01-14,7,0.4,78.411,75.135,54,15.2,94.3
2022-01-15,8,-0.5,79.332,71.67,53,15.2,96.6
2022-01-16,9,0.6,83.786,64.817,53,15.8,93.6
2022-01-17,10,0.7,64.26,63.564,53,14.6,94.7
2022-01-18,11,-0.5,73.724,66.417,54,15.0,95.0
2022-01-20,13,1.0,63.779,57.832,54,15.0,95.3
2022-01-21,14,0.6,78.687,77.065,54,14.2,92.9
2022-01-22,15,-0.8,78.839,75.131,54,15.0,95.3
2022-01-24,17,0.2,65.271,65.11,54,15.0,96.1
2022-01-25,18,-0.5,76.855,56.831,54,15.8,95.2
2022-01-26,19,0.6,73.625,62.437,54,15.0,93.6
2022-01-27,20,-0.8,68.563,62.721,55,15.8,92.2
2022-01-28,21,0.8,68.819,49.232,56,15.2,92.2
2022-01-29,22,-0.6,69.754,69.505,56,16.0,93.2
2022-01-31,24,0.3,62.838,56.502,57,15.2,93.6
2022-02-01,25,1.0,62.391,52.08,57,15.0,93.7
2022-02-03,27,1.0,59.768,63.916,58,14.6,92.3
2022-02-04,28,0.7,55.184,54.091,58,14.8,95.0
2022-02-05,29,1.2,60.526,61.356,58,15.2,94.8
2022-02-06,30,-0.1,64.154,65.808,58,16.0,95.4
2022-02-07,31,-0.8,56.264,55.051,60,17.2,94.8
2022-02-09,1,0.6,63.265,56.609,59,16.0,94.2
2022-02-10,2,1.0,75.593,67.648,59,16.2,94.9
2022-02-11,3,0.8,86.06,77.025,58,16.4,95.5
2022-02-12,4,1.2,79.831,76.336,57,16.2,93.1
2022-02-13,5,0.9,75.813,68.202,56,15.8,92.0
2022-02-14,6,-0.6,69.878,56.551,56,15.8,93.7
2022-02-15,7,1.2,74.059,61.489,56,15.0,95.1
2022-02-16,8,0.5,70.346,70.4,56,16.2,94.5
2022-02-17,9,-0.7,72.082,69.393,56,15.8,95.9
2022-02-18,10,-1.0,82.639,80.885,56,15.4,93.7
2022-02-19,11,0.0,73.45,63.6,56,15.4,95.5
2022-02-20,12,0.5,86.557,66.461,56,15.8,94.5
2022-02-21,13,-0.6,78.349,73.859,56,16.0,93.0
2022-02-22,14,0.7,80.258,75.914,56,14.6,95.0
2022-02-23,15,0.4,80.791,87.681,56,15.0,94.0
2022-02-24,16,0.4,68.177,61.897,57,16.0,93.1
2022-02-26,18,-0.2,65.192,56.97,58,14.4,96.6
2022-02-27,19,0.7,68.56,68.217,57,15.6,95.4
2022-02-28,20,-0.4,73.209,66.492,57,15.8,93.4
2022-03-01,21,-0.0,68.855,59.348,56,14.8,93.9
2022-03-02,22,0.7,64.215,57.819,55,14.8,95.1
2022-03-03,23,-0.1,70.842,69.421,55,15.6,94.3
2022-03-06,26,0.4,58.115,59.615,59,15.2,93.2
2022-03-07,27,0.5,61.03,63.809,59,14.8,93.7
2022-03-08,28,-0.1,66.783,62.43,58,15.2,93.7
2022-03-11,1,-0.4,77.783,84.517,55,15.0,93.4
2022-03-12,2,-0.1,84.197,79.521,54,14.6,94.6
2022-03-13,3,-0.0,86.311,76.515,52,14.0,92.2
2022-03-14,4,-0.6,90.111,86.718,52,14.4,93.3
2022-03-15,5,-0.2,66.821,68.183,52,14.2,93.4
2022-03-16,6,-0.1,69.149,64.065,53,14.8,90.9
2022-03-17,7,0.0,80.296,74.313,53,14.6,94.1
2022-03-18,8,-0.2,84.109,82.184,53,15.8,96.4
2022-03-19,9,0.6,80.167,68.812,52,15.0,92.8
2022-03-20,10,0.5,77.54,72.935,53,13.8,94.0
2022-03-21,11,-0.1,78.694,75.649,53,14.6,95.8
2022-03-23,13,0.6,87.367,89.804,53,14.6,93.4
2022-03-26,16,0.4,79.83,79.004,54,14.8,93.7
2022-03-27,17,-0.3,89.955,77.292,53,14.0,95.1
2022-03-28,18,0.0,76.348,77.205,54,16.2,93.1
2022-03-29,19,0.4,74.529,63.8,54,14.8,94.6
2022-03-30,20,0.3,69.846,69.573,55,15.0,94.0
2022-03-31,21,-1.2,75.757,70.659,55,14.6,95.6
2022-04-01,22,-0.0,61.467,59.809,57,14.8,92.4
2022-04-02,23,1.0,71.776,69.226,57,14.8,94.5
2022-04-03,24,0.5,62.932,66.289,57,14.6,92.3
2022-04-04,25,0.6,62.066,61.813,56,14.6,96.1
2022-04-05,26,-0.6,64.725,58.485,58,14.8,94.6
2022-04-07,1,-1.5,72.587,61.712,58,14.8,93.7
