date,spo2avg
2022-03-23,93.4
2022-03-24,95.0
2022-03-25,95.1
2022-03-26,93.7
2022-03-27,95.1
2022-03-28,93.1
2022-03-29,94.6
2022-03-30,94.0
2022-03-31,95.6
2022-04-01,92.4
2022-04-02,94.5
2022-04-03,92.3
2022-04-04,96.1
2022-04-05,94.6
2022-04-07,93.7
2022-04-08,91.1
2022-04-09,92.7
2022-04-11,95.4
2022-04-12,93.2
2022-04-13,93.9
2022-04-14,95.0
2022-04-16,92.6
2022-04-18,96.5
2022-04-19,95.7
2022-04-21,94.4
2022-04-22,96.1
2022-04-23,93.8
2022-04-24,95.8
2022-04-25,91.7
2022-04-26,91.6
2022-04-27,92.5
2022-04-28,95.1
2022-04-29,95.3
2022-04-30,94.2
2022-05-01,95.2
2022-05-02,94.4
2022-05-03,96.0
2022-05-04,93.1
2022-05-05,93.8
2022-05-06,94.3
2022-05-07,92.9
2022-05-09,93.5
2022-05-11,93.4
2022-05-14,94.1
2022-05-15,92.3
2022-05-18,95.1
2022-05-22,92.6
2022-05-25,97.5
2022-05-26,91.8
2022-05-27,93.5
2022-05-28,94.9
2022-05-29,93.6
2022-05-30,93.7
2022-05-31,93.5
2022-06-01,94.5
2022-06-03,94.2
2022-06-04,94.5
2022-06-05,94.8
2022-06-06,92.7
2022-06-07,93.8
2022-06-09,94.0
2022-06-11,92.0
2022-06-13,94.9
2022-06-15,94.2
2022-06-16,92.9
2022-06-17,94.9
2022-06-18,93.7
2022-06-20,94.8
2022-06-21,91.2
2022-06-22,92.9
2022-06-23,93.0
2022-06-24,95.2
2022-06-25,95.2
2022-06-27,95.3
2022-06-28,96.2
2022-06-30,94.2
2022-07-01,94.8
2022-07-04,95.9
2022-07-05,91.6
2022-07-06,95.4
2022-07-07,92.8
2022-07-10,94.4
2022-07-11,93.7
2022-07-12,95.2
2022-07-13,94.6
2022-07-15,93.2
2022-07-16,95.6
2022-07-17,95.5
2022-07-19,93.9
2022-07-20,94.4
2022-07-21,95.4
2022-07-23,94.7
2022-07-25,91.0
2022-07-26,92.5
2022-07-27,94.9
2022-07-28,95.0
2022-07-30,94.2
2022-07-31,93.5
2022-08-01,92.0
2022-08-02,94.6
2022-08-03,96.1
