date,breathingRate
2023-09-06,17.2
2023-09-07,16.4
2023-09-08,16.0
2023-09-09,16.0
2023-09-10,16.2
2023-09-11,15.4
2023-09-12,14.6
2023-09-13,15.4
2023-09-14,15.0
2023-09-15,14.8
2023-09-16,15.6
2023-09-17,15.0
2023-09-18,15.0
2023-09-19,14.6
2023-09-20,15.6
2023-09-21,15.0
2023-09-22,15.8
2023-09-23,15.0
2023-09-24,15.0
2023-09-25,14.8
2023-09-26,15.4
2023-09-27,15.2
2023-09-28,15.0
2023-09-29,14.0
2023-09-30,14.8
2023-10-01,15.8
2023-10-02,15.0
2023-10-03,16.8
2023-10-04,15.4
2023-10-05,15.6
2023-10-06,13.6
2023-10-07,15.4
2023-10-08,16.4
2023-10-09,16.0
2023-10-10,15.0
2023-10-11,15.4
2023-10-12,16.2
2023-10-13,16.4
2023-10-14,17.0
2023-10-15,16.4
2023-10-16,16.4
2023-10-17,15.2
2023-10-18,14.8
2023-10-19,17.2
2023-10-20,15.2
2023-10-21,14.6
2023-10-22,15.8
2023-10-23,15.4
2023-10-24,14.6
2023-10-25,13.0
2023-10-26,15.8
2023-10-27,16.4
2023-10-29,12.8
2023-10-30,15.2
2023-10-31,15.8
2023-11-01,16.0
2023-11-02,16.0
2023-11-03,14.0
2023-11-04,14.6
2023-11-05,15.6
2023-11-06,15.0
2023-11-07,15.2
2023-11-08,16.0
2023-11-09,15.8
2023-11-10,15.2
2023-11-11,14.0
2023-11-12,14.8
2023-11-13,16.2
2023-11-14,16.8
2023-11-15,15.6
2023-11-16,16.8
2023-11-17,17.2
2023-11-18,17.6
2023-11-19,18.6
2023-11-20,16.8
2023-11-21,17.4
2023-11-22,16.6
2023-11-23,17.2
2023-11-24,16.4
2023-11-25,16.2
