date,dailyrmssd,deeprmssd
2021-12-31,62.537,53.192
2022-01-01,57.104,64.977
2022-01-02,63.596,60.803
2022-01-03,57.646,55.903
2022-01-04,52.4,46.963
2022-01-05,48.706,41.354
2022-01-06,49.832,44.56
2022-01-07,48.63,42.963
2022-01-08,60.424,60.198
2022-01-09,63.788,64.824
2022-01-10,77.215,72.698
2022-01-11,76.299,74.915
2022-01-12,76.663,65.774
2022-01-13,71.059,68.145
2022-01-14,78.411,75.135
2022-01-15,79.332,71.67
2022-01-16,83.786,64.817
2022-01-17,64.26,63.564
2022-01-18,73.724,66.417
2022-01-19,65.917,51.098
2022-01-20,63.779,57.832
2022-01-21,78.687,77.065
2022-01-22,78.839,75.131
2022-01-23,76.929,60.839
2022-01-24,65.271,65.11
2022-01-25,76.855,56.831
2022-01-26,73.625,62.437
2022-01-27,68.563,62.721
2022-01-28,68.819,49.232
2022-01-29,69.754,69.505
2022-01-30,74.581,62.082
2022-01-31,62.838,56.502
2022-02-01,62.391,52.08
2022-02-02,69.76,67.378
2022-02-03,59.768,63.916
2022-02-04,55.184,54.091
2022-02-05,60.526,61.356
2022-02-06,64.154,65.808
2022-02-07,56.264,55.051
2022-02-08,64.076,54.752
2022-02-09,63.265,56.609
2022-02-10,75.593,67.648
2022-02-11,86.06,77.025
2022-02-12,79.831,76.336
2022-02-13,75.813,68.202
2022-02-14,69.878,56.551
2022-02-15,74.059,61.489
2022-02-16,70.346,70.4
2022-02-17,72.082,69.393
2022-02-18,82.639,80.885
2022-02-19,73.45,63.6
2022-02-20,86.557,66.461
2022-02-21,78.349,73.859
2022-02-22,80.258,75.914
2022-02-23,80.791,87.681
2022-02-24,68.177,61.897
2022-02-25,61.319,51.863
2022-02-26,65.192,56.97
2022-02-27,68.56,68.217
2022-02-28,73.209,66.492
2022-03-01,68.855,59.348
2022-03-02,64.215,57.819
2022-03-03,70.842,69.421
2022-03-04,67.556,62.943
2022-03-05,72.434,64.078
2022-03-06,58.115,59.615
2022-03-07,61.03,63.809
2022-03-08,66.783,62.43
2022-03-09,69.301,69.47
2022-03-10,74.13,77.298
2022-03-11,77.783,84.517
2022-03-12,84.197,79.521
2022-03-13,86.311,76.515
2022-03-14,90.111,86.718
2022-03-15,66.821,68.183
2022-03-16,69.149,64.065
2022-03-17,80.296,74.313
2022-03-18,84.109,82.184
2022-03-19,80.167,68.812
2022-03-20,77.54,72.935
2022-03-21,78.694,75.649
2022-03-22,78.898,76.164
2022-03-23,87.367,89.804
2022-03-24,90.353,84.61
2022-03-25,82.193,87.047
2022-03-26,79.83,79.004
2022-03-27,89.955,77.292
2022-03-28,76.348,77.205
2022-03-29,74.529,63.8
2022-03-30,69.846,69.573
2022-03-31,75.757,70.659
2022-04-01,61.467,59.809
2022-04-02,71.776,69.226
